square_footage,price_thousands
3219,554.3
1603,306.9
1514,274.5
3633,593.9
2833,487.3
722,161.9
983,193.3
708,175.3
2898,486.1
2832,499.2
2318,393.9
3915,660.0
626,134.7
2331,374.9
1993,335.9
3727,616.2
1978,356.3
2070,365.1
2008,305.1
3588,550.7
2481,346.7
2150,347.3
922,133.8
3133,494.8
2081,317.6
787,139.8
3308,539.1
926,199.4
1553,289.3
2457,390.4
3203,528.0
2055,335.4
1458,240.0
3399,515.7
3254,560.1
2787,473.4
3586,578.8
1705,323.6
3221,516.5
1928,312.9
3747,605.0
731,131.9
3897,616.7
1464,277.7
2923,493.9
3284,517.4
2644,392.7
2479,445.7
1185,216.0
2899,493.6
2807,458.4
2990,521.5
2235,319.6
1166,280.5
2687,401.1
1049,199.1
1226,193.1
2329,357.5
3042,518.9
2517,427.1
2767,454.8
647,168.8
3386,541.0
2799,422.7
3675,587.5
1056,234.0
1802,285.1
3557,584.5
3547,569.6
1331,269.0
2679,485.0
1822,286.9
3217,505.9
2131,358.8
3723,631.1
2772,508.4
602,106.8
1058,181.8
2086,387.0
1859,286.3
1580,324.9
922,196.6
950,177.3
3715,551.5
2781,458.5
2546,408.9
2851,483.2
3084,529.0
2333,446.0
3693,581.2
3589,563.8
2234,338.4
3351,526.9
2719,426.1
2449,420.3
1984,349.9
686,127.5
1502,255.8
629,166.2
1537,285.8
876,212.4
890,145.8
2705,448.5
1477,298.6
2808,500.6
2938,523.9
2960,440.8
3907,633.5
2267,384.2
2365,405.3
2051,322.8
3586,590.9
821,129.8
1003,126.6
848,148.6
1047,210.1
1618,293.8
1174,245.0
2328,400.5
908,201.7
2415,419.8
1001,144.2
807,143.1
660,113.5
982,230.8
1281,210.5
2264,362.3
2242,377.9
840,166.8
2199,371.3
1686,332.2
1768,285.7
2332,376.5
3808,573.0
2876,456.2
1377,222.0
1815,314.0
3613,590.5
2820,483.1
805,168.9
2992,433.3
2775,464.4
1244,254.5
1361,254.6
880,141.0
1563,253.4
2253,416.3
1608,317.2
2971,456.9
2317,368.1
3292,507.5
1668,274.9
1436,244.9
1687,274.0
2221,397.7
2472,437.2
1895,377.1
638,110.4
2477,388.3
1009,169.2
900,146.1
1142,204.3
2029,382.0
2113,322.0
1767,331.0
3481,601.8
1839,259.5
3278,484.0
2766,500.9
1826,316.2
3317,578.4
1683,323.5
1072,232.5
1236,199.1
1715,293.8
2004,357.5
1433,236.2
2670,395.3
2601,429.8
808,215.8
978,155.5
780,121.9
614,125.5
1672,302.3
1261,227.4
2351,361.0
2897,484.4
3430,555.1
1210,176.0
2985,474.3
2863,477.2
1862,329.8
2093,389.9
763,128.0
2065,354.5
1021,211.5
2048,357.0
2264,328.6
3142,511.1
1569,218.3
1265,274.9
2288,376.4
701,169.6
3804,661.9
2286,399.0
3920,580.7
1616,277.8
1042,240.0
2166,399.2
1511,231.1
1417,263.8
1850,292.1
3960,639.1
696,127.2
3303,543.3
884,193.5
3767,598.5
2237,410.8
3383,578.2
713,143.3
1072,214.7
2978,473.1
1687,325.8
2015,350.3
3584,583.7
2694,418.0
1073,176.3
1643,308.1
781,156.8
3903,624.0
2805,437.8
3618,528.0
3346,550.6
3320,563.1
1952,306.4
1110,180.7
3548,596.3
3331,522.2
2272,363.0
2870,504.8
1121,221.4
2152,397.3
3374,545.9
2931,464.2
1832,275.5
1844,343.0
1775,317.1
3084,545.1
3281,520.3
3367,569.3
1475,216.9
3860,615.9
3614,587.2
2711,455.9
3319,522.7
3952,616.0
3676,593.4
3903,646.9
1415,256.9
2546,428.0
3103,511.2
2297,376.7
3179,481.5
2172,347.6
2624,422.2
3416,560.7
622,172.1
1036,164.4
3788,594.3
3450,564.5
2721,417.0
1097,211.6
2469,429.0
2775,477.0
2889,422.8
2412,367.3
3109,527.3
2347,343.6
2844,452.7
2544,426.5
2443,405.4
3211,540.5
1735,303.3
3167,484.9
1579,275.3
1770,315.4
1560,271.0
2812,483.5
930,191.2
3442,570.2
1225,221.3
2269,371.6
1955,308.3
1447,250.2
2320,355.1
3448,584.6
680,168.5
2158,330.3
2553,446.2
3686,593.8
2197,407.0
2316,338.1
2804,460.1
3070,469.1
1503,245.5
2589,429.8
718,119.2
3869,644.2
2256,370.7
1122,161.0
3148,459.0
3024,482.0
2911,471.2
2355,384.3
1155,223.9
1665,278.0
2152,349.9
1982,361.6
3717,612.2
2326,375.0
1633,299.3
3668,565.9
2809,519.7
1518,287.5
3262,586.3
764,180.8
3689,611.8
